date,GDP,Employment,CPI
1976-01-01,3628.76,1665.0939,349438.4
1976-02-01,3644.7932,1670.0286,347387.9
1976-03-01,3672.9333,1676.6824,348572.0
1976-04-01,3691.4033,1684.8074,350861.8
1976-05-01,3739.4666,1697.7909,351030.8
1976-06-01,3794.8167,1714.3873,350732.9
1976-07-01,3831.86,1731.5336,349722.9
1976-08-01,3834.8232,1729.4061,350715.0
1976-09-01,3771.88,1711.2893,351087.0
1976-10-01,3766.44,1712.4653,346272.3
1976-11-01,3765.6868,1714.217,352199.9
1976-12-01,3759.7434,1715.3102,352980.5
1977-01-01,3715.0134,1709.8567,345270.0
1977-02-01,3724.54,1715.9196,352332.8
1977-03-01,3732.6567,1719.539,351656.8
1977-04-01,3747.63,1724.9811,355467.6
1977-05-01,3818.7834,1742.0364,354520.1
1977-06-01,3853.3567,1752.2618,354717.2
1977-07-01,3892.7166,1767.0264,354610.2
1977-08-01,3897.75,1768.2806,355738.2
1977-09-01,3825.0366,1749.654,356324.6
1977-10-01,3834.1768,1752.9728,358059.7
1977-11-01,3821.36,1752.5135,359437.5
1977-12-01,3811.19,1751.5078,348495.6
1978-01-01,3769.11,1743.8812,350906.4
1978-02-01,3798.3066,1754.0828,358271.3
1978-03-01,3823.6,1764.8029,360927.3
1978-04-01,3838.12,1768.1462,360734.8
1978-05-01,3905.8267,1787.3013,364087.3
1978-06-01,3966.4966,1803.1693,364362.3
1978-07-01,4020.9734,1820.5103,367391.2
1978-08-01,4029.5234,1822.9336,367862.7
1978-09-01,3963.5867,1804.0967,366725.9
1978-10-01,3986.3132,1808.7137,372120.4
1978-11-01,3976.65,1809.3157,371676.3
1978-12-01,3968.53,1808.5828,374122.4
1979-01-01,3941.3167,1806.8665,376833.5
1979-02-01,3956.2766,1810.7384,373628.8
1979-03-01,3987.0366,1820.3292,378027.0
1979-04-01,4006.9734,1826.2068,376122.2
1979-05-01,4081.6567,1842.4891,378677.1
1979-06-01,4135.507,1855.8726,380846.7
1979-07-01,4201.513,1873.3002,380329.8
1979-08-01,4209.2866,1875.3726,383896.0
1979-09-01,4136.91,1854.4913,385122.7
1979-10-01,4155.547,1862.8401,384802.5
1979-11-01,4148.973,1862.6185,384726.6
1979-12-01,4131.427,1860.108,385356.0
1980-01-01,4099.2065,1859.7118,385943.0
1980-02-01,4112.513,1864.1746,384327.4
1980-03-01,4126.683,1870.535,384425.4
1980-04-01,4147.3735,1876.749,388402.2
1980-05-01,4187.76,1888.1846,385443.0
1980-06-01,4259.823,1908.1777,385937.5
1980-07-01,4288.947,1916.0656,388952.8
1980-08-01,4298.2734,1919.1168,387368.6
1980-09-01,4251.8135,1903.5499,387811.0
1980-10-01,4262.2065,1907.1782,391625.5
1980-11-01,4258.0635,1906.9631,393531.8
1980-12-01,4238.37,1904.3102,394330.3
1981-01-01,4219.527,1905.1058,397216.3
1981-02-01,4257.89,1916.7079,398802.2
1981-03-01,4266.7666,1922.4467,397471.3
1981-04-01,4290.0635,1925.0966,400024.8
1981-05-01,4358.467,1944.5941,398233.7
1981-06-01,4426.7734,1964.229,400040.5
1981-07-01,4444.1733,1968.9464,400418.4
1981-08-01,4445.83,1968.8945,398266.5
1981-09-01,4350.56,1953.7737,397978.4
1981-10-01,4337.4966,1951.734,395119.5
1981-11-01,4314.9165,1947.2229,397238.5
1981-12-01,4268.9565,1939.5481,393887.4
1982-01-01,4209.9033,1928.4856,390374.7
1982-02-01,4206.18,1930.1311,390318.6
1982-03-01,4204.757,1937.2756,389248.7
1982-04-01,4185.797,1935.4658,384092.3
1982-05-01,4219.8965,1949.3173,382883.5
