date,GDP,Employment,CPI
2000-01-01,13878.147,131009,169.3
2000-02-01,,131120,170.0
2000-03-01,,131604,171.0
2000-04-01,14130.908,131883,170.9
2000-05-01,,132106,171.2
2000-06-01,,132060,172.2
2000-07-01,14145.312,132228,172.7
2000-08-01,,132231,172.7
2000-09-01,,132357,173.6
2000-10-01,14229.765,132352,173.9
2000-11-01,,132553,174.2
2000-12-01,,132718,174.6
2001-01-01,14183.12,132699,175.6
2001-02-01,,132786,176.0
2001-03-01,,132751,176.1
2001-04-01,14271.694,132455,176.4
2001-05-01,,132411,177.3
2001-06-01,,132296,177.7
2001-07-01,14214.516,132173,177.4
2001-08-01,,132024,177.4
2001-09-01,,131765,178.1
2001-10-01,14253.574,131452,177.6
2001-11-01,,131141,177.5
2001-12-01,,130984,177.4
2002-01-01,14372.785,130853,177.7
2002-02-01,,130732,178.0
2002-03-01,,130720,178.5
2002-04-01,14460.848,130616,179.3
2002-05-01,,130632,179.5
2002-06-01,,130682,179.6
2002-07-01,14519.633,130585,180.0
2002-08-01,,130587,180.5
2002-09-01,,130498,180.8
2002-10-01,14537.58,130621,181.2
2002-11-01,,130617,181.5
2002-12-01,,130469,181.8
2003-01-01,14614.141,130580,182.6
2003-02-01,,130443,183.6
2003-03-01,,130232,183.9
2003-04-01,14743.567,130176,183.2
2003-05-01,,130196,182.9
2003-06-01,,130192,183.1
2003-07-01,14988.782,130184,183.7
2003-08-01,,130153,184.5
2003-09-01,,130252,185.1
2003-10-01,15162.76,130439,184.9
2003-11-01,,130482,185.0
2003-12-01,,130594,185.5
2004-01-01,15248.68,130766,186.3
2004-02-01,,130822,186.7
2004-03-01,,131139,187.1
2004-04-01,15366.85,131409,187.4
2004-05-01,,131693,188.2
2004-06-01,,131789,188.9
2004-07-01,15512.619,131850,189.1
2004-08-01,,131936,189.2
2004-09-01,,132083,189.8
2004-10-01,15670.88,132435,190.8
2004-11-01,,132509,191.7
2004-12-01,,132633,191.7
2005-01-01,15844.727,132779,191.6
2005-02-01,,133033,192.4
2005-03-01,,133154,193.1
2005-04-01,15922.782,133515,193.7
2005-05-01,,133687,193.6
2005-06-01,,133939,193.7
2005-07-01,16047.587,134297,194.9
2005-08-01,,134495,196.1
2005-09-01,,134552,198.8
2005-10-01,16136.734,134646,199.1
2005-11-01,,135001,198.1
2005-12-01,,135160,198.1
2006-01-01,16353.835,135425,199.3
2006-02-01,,135732,199.4
2006-03-01,,136041,199.7
2006-04-01,16396.151,136210,200.7
2006-05-01,,136247,201.3
2006-06-01,,136328,201.8
2006-07-01,16420.738,136522,202.9
2006-08-01,,136688,203.8
2006-09-01,,136825,202.8
2006-10-01,16561.866,136849,201.9
2006-11-01,,137068,202.0
2006-12-01,,137251,203.1
2007-01-01,16611.69,137475,203.437
2007-02-01,,137556,204.226
2007-03-01,,137782,205.288
2007-04-01,16713.314,137842,205.904
2007-05-01,,137993,206.755
2007-06-01,,138072,207.234
2007-07-01,16809.587,138042,207.603
2007-08-01,,138017,207.667
2007-09-01,,138103,208.547
2007-10-01,16915.191,138175,209.19
2007-11-01,,138291,210.834
2007-12-01,,138396,211.445
2008-01-01,16843.003,138397,212.174
2008-02-01,,138326,212.687
2008-03-01,,138256,213.448
2008-04-01,16943.291,138037,213.942
2008-05-01,,137847,215.208
2008-06-01,,137689,217.463
2008-07-01,16854.295,137492,219.016
2008-08-01,,137209,218.69
2008-09-01,,136759,218.877
2008-10-01,16485.35,136294,216.995
2008-11-01,,135546,213.153
2008-12-01,,134848,211.398
2009-01-01,16298.262,134066,211.933
2009-02-01,,133314,212.705
2009-03-01,,132494,212.495
2009-04-01,16269.145,131825,212.709
2009-05-01,,131470,213.022
2009-06-01,,131003,214.79
2009-07-01,16326.281,130661,214.726
2009-08-01,,130480,215.445
2009-09-01,,130241,215.861
2009-10-01,16502.754,130061,216.509
2009-11-01,,130059,217.234
2009-12-01,,129807,217.347
2010-01-01,16582.71,129795,217.488
2010-02-01,,129702,217.281
2010-03-01,,129865,217.353
2010-04-01,16743.162,130115,217.403
2010-05-01,,130645,217.29
2010-06-01,,130501,217.199
2010-07-01,16872.266,130420,217.605
2010-08-01,,130423,217.923
2010-09-01,,130340,218.275
2010-10-01,16960.864,130620,219.035
2010-11-01,,130754,219.59
2010-12-01,,130836,220.472
2011-01-01,16920.632,130839,221.187
2011-02-01,,131054,221.898
2011-03-01,,131278,223.046
2011-04-01,17035.114,131604,224.093
2011-05-01,,131704,224.806
2011-06-01,,131936,224.806
2011-07-01,17031.313,131992,225.395
2011-08-01,,132123,226.106
2011-09-01,,132346,226.597
2011-10-01,17222.583,132557,226.75
2011-11-01,,132701,227.169
2011-12-01,,132902,227.223
2012-01-01,17367.01,133243,227.842
2012-02-01,,133521,228.329
2012-03-01,,133745,228.807
2012-04-01,17444.525,133828,229.187
2012-05-01,,133935,228.713
2012-06-01,,134008,228.524
2012-07-01,17469.65,134153,228.59
2012-08-01,,134329,229.918
2012-09-01,,134512,231.015
2012-10-01,17489.852,134672,231.638
2012-11-01,,134831,231.249
2012-12-01,,135074,231.221
2013-01-01,17662.4,135263,231.679
2013-02-01,,135548,232.937
2013-03-01,,135690,232.282
2013-04-01,17709.671,135876,231.797
2013-05-01,,136090,231.893
2013-06-01,,136269,232.445
2013-07-01,17860.45,136391,232.9
2013-08-01,,136634,233.456
2013-09-01,,136819,233.544
2013-10-01,18016.147,137039,233.669
2013-11-01,,137312,234.1
2013-12-01,,137367,234.719
2014-01-01,17953.974,137551,235.288
2014-02-01,,137710,235.547
2014-03-01,,137987,236.028
2014-04-01,18185.911,138298,236.468
2014-05-01,,138500,236.918
2014-06-01,,138833,237.231
2014-07-01,18406.941,139076,237.498
2014-08-01,,139257,237.46
2014-09-01,,139564,237.477
2014-10-01,18500.031,139804,237.43
2014-11-01,,140088,236.983
2014-12-01,,140366,236.252
2015-01-01,18666.621,140562,234.747
2015-02-01,,140831,235.342
2015-03-01,,140925,235.976
2015-04-01,18782.243,141202,236.222
2015-05-01,,141539,237.001
2015-06-01,,141695,237.657
2015-07-01,18857.418,141989,238.034
2015-08-01,,142130,238.033
2015-09-01,,142265,237.498
2015-10-01,18892.206,142584,237.733
2015-11-01,,142810,238.017
2015-12-01,,143083,237.761
2016-01-01,19001.69,143196,237.652
2016-02-01,,143411,237.336
2016-03-01,,143666,238.08
2016-04-01,19062.709,143856,238.992
2016-05-01,,143901,239.557
2016-06-01,,144152,240.222
2016-07-01,19197.938,144515,240.101
2016-08-01,,144664,240.545
2016-09-01,,144961,241.176
2016-10-01,19304.352,145069,241.741
2016-11-01,,145188,242.026
2016-12-01,,145410,242.637
2017-01-01,19398.343,145636,243.618
2017-02-01,,145848,244.006
2017-03-01,,145976,243.892
2017-04-01,19506.949,146173,244.193
2017-05-01,,146389,244.004
2017-06-01,,146588,244.163
2017-07-01,19660.766,146772,244.243
2017-08-01,,146907,245.183
2017-09-01,,146999,246.435
2017-10-01,19882.352,147146,246.626
2017-11-01,,147375,247.284
2017-12-01,,147521,247.805
2018-01-01,20044.077,147667,248.859
2018-02-01,,148054,249.529
2018-03-01,,148280,249.577
2018-04-01,20150.476,148426,250.227
2018-05-01,,148755,250.792
2018-06-01,,148968,251.018
2018-07-01,20276.154,149023,251.214
2018-08-01,,149274,251.663
2018-09-01,,149361,252.182
2018-10-01,20304.874,149525,252.772
2018-11-01,,149622,252.594
2018-12-01,,149804,252.767
2019-01-01,20431.641,150062,252.561
2019-02-01,,150067,253.319
2019-03-01,,150294,254.277
2019-04-01,20602.275,150602,255.233
2019-05-01,,150640,255.296
2019-06-01,,150844,255.213
2019-07-01,20843.322,150934,255.802
2019-08-01,,151155,256.036
2019-09-01,,151358,256.43
2019-10-01,20985.448,151458,257.155
2019-11-01,,151666,257.879
2019-12-01,,151792,258.63
2020-01-01,20693.238,152045,258.906
2020-02-01,,152309,259.246
2020-03-01,,150898,258.15
2020-04-01,19056.617,130421,256.126
2020-05-01,,133040,255.848
2020-06-01,,137655,257.004
2020-07-01,20548.793,139240,258.408
2020-08-01,,140774,259.366
2020-09-01,,141820,259.951
2020-10-01,20771.691,142493,260.249
2020-11-01,,142761,260.895
2020-12-01,,142518,262.005
2021-01-01,21058.379,142916,262.518
2021-02-01,,143443,263.583
2021-03-01,,144274,264.91
2021-04-01,21389.005,144593,266.752
2021-05-01,,145044,268.452
2021-06-01,,145822,270.664
2021-07-01,21571.421,146761,271.994
2021-08-01,,147226,272.789
2021-09-01,,147706,273.887
2021-10-01,21960.388,148566,276.434
2021-11-01,,149197,278.799
2021-12-01,,149763,280.808
2022-01-01,21903.85,150014,282.39
2022-02-01,,150876,284.535
2022-03-01,,151370,287.553
2022-04-01,21919.222,151642,288.764
2022-05-01,,151928,291.359
2022-06-01,,152348,294.996
2022-07-01,22066.784,153038,294.977
2022-08-01,,153281,295.209
2022-09-01,,153536,296.341
2022-10-01,22249.459,153897,297.863
2022-11-01,,154155,298.648
2022-12-01,,154291,298.812
2023-01-01,22403.435,154773,300.356
2023-02-01,,155060,301.509
2023-03-01,,155206,301.744
2023-04-01,22539.418,155484,303.032
2023-05-01,,155787,303.365
2023-06-01,,156027,304.003
2023-07-01,22780.933,156211,304.628
2023-08-01,,156421,306.187
2023-09-01,,156667,307.288
2023-10-01,22960.6,156832,307.531
2023-11-01,,157014,308.024
2023-12-01,,157304,308.742
